"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","13,959","-","-","3,768,328","842,089,069","-","-","21.7%","-","19,689"
"1 沼田店","P_1.00","1,166.0","280","99","386","67,542","13,552,492","33.1%","35.4%","20.1%","107.0%","17,518"
"2 渋川インター店","P_1.00","566.5","127","46","202","36,809","8,455,779","35.6%","36.6%","23.0%","102.7%","18,507"
"3 中之条店","P_1.00","974.0","127","35","336","22,889","5,875,454","34.5%","27.6%","25.7%","79.9%","13,218"
"4 前橋若宮店","P_1.00","767.0","115","56","267","44,309","8,701,905","34.8%","48.9%","19.6%","140.7%","25,738"
"5 前橋大利根店","P_1.00","1,506.8","235","89","513","69,607","13,704,486","34.0%","37.7%","19.7%","110.7%","19,238"
"6 ガーデン前橋店","P_1.00","1,462.0","252","79","431","60,579","12,363,893","29.5%","31.3%","20.4%","106.1%","15,824"
"7 富岡店","P_1.00","296.9","144","66","100","46,243","9,558,420","33.7%","45.7%","20.7%","135.5%","22,866"
"8 安中店","P_1.00","475.6","202","58","105","48,792","10,546,066","22.2%","28.8%","21.6%","129.7%","15,106"
"9 高崎本店","P_1.00","1,258.2","160","81","521","63,927","13,119,500","41.4%","50.7%","20.5%","122.4%","26,810"
"10 倉賀野店","P_1.00","1,094.3","275","72","371","52,774","8,936,310","33.9%","26.2%","16.9%","77.4%","12,864"
"11 金古店","P_1.00","1,148.4","209","85","473","64,050","12,463,143","41.2%","40.5%","19.5%","98.4%","20,472"
"12 伊勢崎店","P_1.00","877.2","158","36","302","28,653","8,018,280","34.4%","22.8%","28.0%","66.1%","11,252"
"13 大間々店","P_1.00","1,465.9","238","92","488","67,600","14,871,756","33.3%","38.5%","22.0%","115.6%","19,352"
"14 館林店","P_1.00","937.3","226","70","245","51,364","12,145,449","26.1%","31.1%","23.6%","118.9%","15,202"
"15 太田矢島店","P_1.00","1,275.4","212","96","479","71,218","14,837,360","37.5%","45.1%","20.8%","120.0%","23,032"
"16 太田店","P_1.00","1,517.4","283","105","570","78,802","17,572,666","37.6%","37.1%","22.3%","98.8%","18,786"
"17 上越店","P_1.00","1,217.9","238","61","334","40,789","9,497,972","27.4%","25.6%","21.1%","93.5%","13,029"
"18 上田店","P_1.09","807.6","159","72","249","52,549","11,495,258","30.8%","45.4%","21.5%","147.1%","22,330"
"19 S熊谷店","P_1.00","1,274.8","253","123","381","96,280","20,355,195","29.9%","48.7%","21.1%","162.8%","24,125"
"20 S鴻巣店","P_1.00","1,248.5","206","68","320","54,451","11,751,924","25.6%","32.9%","21.6%","128.6%","16,519"
"21 S上里店","P_1.00","1,423.4","196","65","364","51,005","9,495,501","25.5%","33.0%","18.6%","129.2%","16,568"
"22 入間店","P_1.00","1,859.3","182","64","628","49,316","12,463,729","33.8%","34.9%","25.3%","103.3%","17,321"
"23 坂戸店","P_1.00","1,075.9","189","85","392","62,602","13,293,211","36.4%","45.1%","21.2%","123.9%","22,539"
"24 花園店","P_1.00","1,121.3","171","87","384","66,103","13,770,653","34.3%","51.2%","20.8%","149.4%","25,286"
"25 杉戸店","P_1.00","1,111.8","167","44","386","35,422","7,952,443","34.7%","26.5%","22.5%","76.3%","12,961"
"26 羽生店","P_1.00","1,116.3","199","52","241","37,236","5,787,800","21.6%","26.2%","15.5%","121.7%","13,248"
"27 千葉みなと店","P_1.00","830.0","237","81","302","64,901","13,134,331","36.4%","34.4%","20.2%","94.3%","17,495"
"28 浜野店","P_1.00","1,130.0","193","75","306","63,157","13,297,501","27.1%","39.1%","21.1%","144.5%","20,907"
"29 佐倉店","P_1.00","1,214.3","197","89","405","66,284","14,900,035","33.4%","44.9%","22.5%","134.5%","22,925"
"30 S東金店","P_1.00","834.8","187","111","303","78,810","14,577,643","36.3%","59.4%","18.5%","163.7%","30,912"
"32 旭店","P_1.00","967.8","186","48","237","36,574","7,569,140","24.5%","25.8%","20.7%","105.3%","12,544"
"33 妙典駅前店","P_1.00","873.9","133","56","331","48,269","10,977,849","37.9%","42.5%","22.7%","112.2%","22,805"
"34 ＷＡＫＯ鹿島店","P_1.00","704.9","249","94","216","57,348","10,766,907","30.6%","37.9%","18.2%","123.5%","19,174"
"35 神栖店","P_1.00","905.9","176","68","298","43,004","9,191,555","32.9%","38.8%","20.8%","117.8%","19,116"
"36 立川店","P_1.00","842.9","199","54","310","36,477","9,003,764","36.7%","27.1%","23.7%","73.7%","14,373"
"37 新小岩店","P_1.00","1,683.3","244","96","492","63,467","17,957,845","29.2%","39.5%","27.6%","135.2%","20,233"
"38 八王子北野店","P_1.12","1,040.0","32","11","375","10,367","2,245,652","36.0%","35.6%","20.7%","98.8%","21,775"
"40 錦糸町店","P_1.00","582.3","74","39","238","30,189","9,846,047","40.9%","51.9%","31.9%","126.8%","28,585"
"41 座間店","P_1.00","761.1","251","77","318","62,271","14,709,340","41.8%","30.7%","23.6%","73.3%","15,899"
"42 平塚駅前店","P_1.00","994.6","194","66","357","51,563","12,172,396","35.9%","34.0%","23.6%","94.7%","17,739"
"43 上永谷店","P_1.00","736.0","131","48","297","39,884","10,858,480","40.3%","36.6%","27.2%","90.7%","19,130"
"44 姫路店　","P_1.02","903.6","202","60","308","40,330","9,325,260","34.1%","29.9%","23.0%","87.6%","14,526"
"45 新開地店","P_1.00","935.7","229","122","383","72,550","15,102,872","40.9%","53.2%","20.6%","130.1%","26,583"
"46 仙台東店","P_1.00","1,048.8","181","75","310","58,096","11,393,600","29.5%","41.7%","19.2%","141.1%","23,446"
"47 仙台泉店","P_1.00","880.1","166","77","302","60,238","14,666,446","34.3%","46.3%","24.0%","134.9%","25,695"
"48 福岡本店","P_1.00","1,958.1","198","101","770","62,486","15,183,737","39.3%","51.3%","22.8%","130.4%","27,113"
"49 筑紫野店","P_1.00","2,254.8","377","158","799","105,230","27,075,864","35.4%","41.8%","24.3%","118.0%","21,746"
"50 福重店","P_1.00","1,737.7","198","95","726","64,019","16,370,144","41.8%","48.0%","24.6%","115.0%","25,018"
"51 伊都店","P_1.00","1,666.7","239","77","636","52,477","13,460,222","38.1%","32.3%","24.7%","84.8%","17,325"
"52 飯塚店","P_1.00","1,972.7","311","130","688","75,919","17,820,145","34.9%","42.0%","21.9%","120.5%","21,082"
"53 中間店","P_1.00","1,340.1","205","83","487","46,473","10,800,670","36.3%","40.6%","21.8%","111.8%","19,911"
"54 門司店","P_1.00","588.9","205","67","170","37,566","7,989,384","28.9%","32.8%","19.7%","113.3%","16,282"
"55 松浦店","P_1.00","338.5","198","35","53","22,265","7,193,981","15.6%","17.5%","30.8%","112.2%","8,476"
"56 佐々インター店","P_1.00","1,427.3","196","116","496","65,622","12,408,320","34.8%","59.0%","16.6%","169.6%","29,696"
"57 大野店","P_1.00","601.7","196","60","132","37,498","9,859,838","21.9%","30.9%","24.7%","141.2%","15,274"
"58 佐世保南店","P_1.00","1,219.6","180","96","520","55,507","13,019,559","42.6%","53.4%","22.0%","125.3%","27,085"
"59 大村店","P_1.00","793.8","207","87","266","48,025","11,429,643","33.5%","42.0%","22.0%","125.6%","21,514"
"60 諫早店","P_1.00","1,447.5","318","122","527","74,921","19,736,869","36.4%","38.5%","25.0%","105.8%","19,573"
"61 長与店","P_1.00","595.2","215","106","285","63,258","15,810,719","47.8%","49.1%","23.1%","102.6%","24,443"
"62 女神店","P_1.00","1,226.3","319","145","419","85,445","26,054,127","34.2%","45.4%","28.5%","132.9%","22,967"
"63 大分本店","P_1.00","1,899.0","262","108","556","64,594","14,877,899","29.3%","41.3%","21.6%","141.1%","21,108"
"64 南大分店","P_1.00","869.8","262","104","310","58,633","11,460,016","35.7%","39.8%","18.3%","111.6%","19,841"
"65 日向店","P_1.00","1,221.3","271","111","386","62,847","13,112,778","31.6%","40.8%","18.3%","129.2%","19,783"
"66 都城店","P_1.00","1,878.4","273","82","766","46,959","9,872,973","40.8%","29.9%","19.3%","73.2%","15,528"
"67 大淀店","P_1.00","1,652.1","311","151","797","84,836","17,151,633","48.2%","48.4%","19.1%","100.4%","24,736"
"68 延岡店","P_1.00","1,068.1","217","91","424","51,028","10,563,240","39.7%","42.2%","19.0%","106.4%","21,239"
"69 松橋インター店","P_1.00","1,056.0","171","50","365","31,980","5,234,200","34.6%","29.4%","16.4%","85.0%","14,974"
"70 八代店","P_1.00","1,736.7","238","104","580","66,053","13,319,800","33.4%","43.8%","20.2%","131.3%","21,532"
