"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","476","-","-","50,167","13,891,622","-","-","26.6%","-","27,911"
"2 渋川インター店","P_0.20","18.0","18","14","14","2,716","615,817","78.1%","78.1%","22.7%","100.0%","40,553"
"3 中之条店","P_0.20","43.9","26","12","26","1,707","492,136","58.8%","45.3%","28.8%","77.1%","21,701"
"5 前橋大利根店","P_0.20","87.1","51","42","57","7,135","1,747,069","65.2%","82.7%","24.5%","126.8%","43,362"
"16 太田店","P_0.20","46.8","47","31","31","3,005","851,378","65.9%","65.9%","28.3%","100.0%","32,225"
"17 上越店","P_0.20","172.7","79","42","72","6,044","1,949,023","41.5%","53.2%","27.7%","128.3%","26,194"
"27 千葉みなと店","P_0.20","41.0","41","27","27","4,841","1,299,032","65.2%","65.2%","26.8%","100.0%","32,734"
"32 旭店","P_0.20","101.6","38","21","24","3,352","747,740","23.4%","54.7%","22.3%","233.9%","26,994"
"42 平塚駅前店","P_0.50","132.7","34","18","59","6,325","1,458,087","44.6%","53.4%","23.1%","119.9%","26,434"
"43 上永谷店","P_0.50","88.4","47","15","29","6,778","1,931,532","32.7%","31.5%","28.5%","96.5%","15,591"
"51 伊都店","P_0.20","79.3","79","39","39","5,548","1,848,559","49.3%","49.3%","30.1%","100.0%","24,674"
"55 松浦店","P_0.20","60.0","40","20","26","2,716","951,249","44.0%","49.5%","31.6%","112.4%","24,146"
