"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","3,967","-","-","1,447,300","251,304,962","-","-","16.8%","-","11,457"
"1 沼田店","S_5.49","223.9","41","19","83","15,705","2,619,545","36.9%","47.3%","16.7%","128.0%","11,844"
"2 渋川インター店","S_5.49","127.7","36","18","46","14,441","2,594,648","36.3%","49.6%","18.0%","136.7%","12,115"
"3 中之条店","S_5.49","191.9","23","10","75","8,012","765,021","39.3%","41.7%","9.5%","106.1%","10,317"
"4 前橋若宮店","S_5.49","123.8","17","7","46","6,335","970,112","37.1%","40.2%","15.3%","108.2%","10,732"
"5 前橋大利根店","S_5.49","199.7","76","42","103","33,730","4,699,785","51.4%","55.0%","13.9%","107.0%","13,913"
"6 ガーデン前橋店","S_5.49","274.1","70","32","107","26,803","3,940,373","39.1%","45.9%","14.7%","117.3%","11,362"
"7 富岡店","S_5.49","58.9","36","10","14","8,382","1,455,997","23.8%","28.3%","17.4%","118.8%","6,988"
"8 安中店","S_5.49","121.1","98","42","46","29,474","2,986,570","37.7%","42.6%","10.1%","113.0%","10,341"
"9 高崎本店","S_5.49","300.7","39","24","164","21,776","3,110,669","54.7%","61.9%","14.3%","113.3%","16,529"
"10 倉賀野店","S_5.49","116.9","54","26","66","22,715","3,054,898","56.5%","48.5%","13.4%","85.8%","11,869"
"11 金古店","S_5.49","131.9","48","25","72","20,864","3,423,248","54.8%","52.4%","16.4%","95.6%","13,352"
"12 伊勢崎店","S_5.49","198.3","69","41","106","29,938","5,072,870","53.5%","59.0%","16.9%","110.2%","14,452"
"13 大間々店","S_5.49","115.9","83","45","60","36,929","5,987,901","51.6%","54.0%","16.2%","104.7%","13,722"
"14 館林店","S_5.49","218.8","59","25","62","20,090","2,991,544","28.3%","42.2%","14.9%","149.3%","10,423"
"15 太田矢島店","S_5.49","260.8","42","24","143","20,483","2,614,287","54.9%","58.1%","12.8%","105.9%","14,612"
"16 太田店","S_5.49","238.8","90","57","136","8,077","911,819","56.9%","63.2%","11.3%","111.1%","15,678"
"17 上越店","S_5.62","198.7","80","35","73","27,358","6,206,000","36.8%","43.5%","19.4%","118.3%","11,213"
"18 上田店","S_5.43","221.9","26","11","81","8,383","1,608,660","36.5%","42.0%","18.8%","115.2%","10,600"
"19 S熊谷店","S_5.49","322.6","50","28","121","22,107","3,088,807","37.5%","55.8%","14.0%","148.6%","13,713"
"20 S鴻巣店","S_5.49","268.6","87","41","124","32,503","5,438,584","46.0%","46.9%","16.7%","101.9%","11,296"
"21 S上里店","S_5.49","351.7","120","50","132","39,805","6,300,363","37.6%","41.3%","15.8%","109.8%","10,149"
"22 入間店","S_5.49","179.6","85","32","57","24,757","3,678,540","31.7%","37.1%","14.9%","117.2%","9,033"
"23 坂戸店","S_5.49","164.7","58","31","75","24,696","3,411,034","45.8%","53.8%","13.8%","117.3%","13,009"
"25 杉戸店","S_5.49","242.5","84","29","99","22,718","3,711,004","41.0%","34.9%","16.3%","85.2%","8,667"
"26 羽生店","S_5.49","318.8","80","26","109","20,296","3,621,274","34.2%","32.3%","17.8%","94.3%","8,024"
"27 千葉みなと店","S_5.49","310.1","162","87","169","65,546","10,620,458","54.5%","53.5%","16.2%","98.2%","13,213"
"28 浜野店","S_5.49","410.0","84","45","175","38,539","6,660,035","42.6%","53.7%","17.3%","126.0%","13,961"
"29 佐倉店","S_5.49","304.8","52","24","124","20,946","3,067,840","40.7%","46.9%","14.6%","115.2%","12,060"
"30 S東金店","S_5.49","185.9","47","28","74","24,260","3,100,512","39.8%","59.2%","12.8%","148.9%","15,764"
"32 旭店","S_5.49","179.4","39","17","51","14,082","1,860,386","28.5%","43.5%","13.2%","152.2%","10,811"
"33 妙典駅前店","S_6.25","207.7","53","26","100","26,678","4,463,970","48.3%","49.6%","16.7%","102.8%","13,089"
"34 ＷＡＫＯ鹿島店","S_5.49","208.4","18","6","62","4,525","879,932","29.6%","34.3%","18.8%","115.8%","8,299"
