"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","19,090","-","-","14,302,508","2,533,292,330","-","-","17.5%","-","12,217"
"1 沼田店","P_4.00","1,021.6","211","43","167","139,351","23,679,924","16.4%","20.1%","17.0%","122.7%","10,417"
"2 渋川インター店","P_4.00","490.4","250","42","95","147,721","26,747,648","19.3%","16.6%","18.1%","85.8%","8,670"
"3 中之条店","P_4.00","830.4","129","15","152","47,676","11,042,260","18.4%","11.7%","23.2%","63.9%","5,821"
"4 前橋若宮店","P_4.00","1,803.9","268","57","362","212,900","34,261,820","20.1%","21.2%","16.1%","105.9%","11,736"
"5 前橋大利根店","P_4.00","1,843.7","314","64","503","226,467","39,278,268","27.3%","20.5%","17.3%","75.0%","10,594"
"6 ガーデン前橋店","P_4.00","1,288.5","353","76","270","276,597","45,098,044","21.0%","21.7%","16.3%","103.3%","11,460"
"7 富岡店","P_4.00","524.5","284","51","69","160,567","27,916,860","13.1%","17.8%","17.4%","135.9%","8,996"
"8 安中店","P_4.00","804.4","284","36","57","135,422","26,085,788","7.1%","12.5%","19.3%","175.3%","6,894"
"9 高崎本店","P_4.00","2,135.9","368","136","583","477,655","64,156,500","27.3%","37.0%","13.4%","135.6%","20,742"
"10 倉賀野店","P_4.00","1,160.0","246","33","256","111,589","19,816,772","22.1%","13.3%","17.8%","60.1%","6,941"
"11 金古店","P_4.00","1,608.4","375","79","361","274,296","43,759,968","22.4%","21.0%","16.0%","93.6%","11,111"
"12 伊勢崎店","P_4.00","1,130.9","219","29","207","105,690","19,712,460","18.3%","13.2%","18.7%","72.2%","6,844"
"13 大間々店","P_4.00","973.3","333","44","126","153,272","29,606,956","12.9%","13.3%","19.3%","103.2%","6,813"
"14 館林店","P_4.00","930.6","235","45","135","163,252","30,917,648","14.5%","19.2%","18.9%","132.7%","10,471"
"15 太田矢島店","P_4.00","1,669.9","218","51","368","182,562","32,217,300","22.1%","23.4%","17.6%","106.2%","13,191"
"16 太田店","P_4.00","2,260.2","313","45","450","160,771","34,597,768","19.9%","14.3%","21.5%","71.9%","7,305"
"17 上越店","P_4.00","1,387.3","318","43","252","132,958","27,174,091","18.2%","13.4%","19.3%","73.9%","6,822"
"18 上田店","P_4.35","1,380.2","316","74","222","239,240","41,343,500","16.1%","23.3%","17.1%","145.2%","11,591"
"19 S熊谷店","P_4.00","1,694.3","326","104","241","360,280","58,245,220","14.2%","32.0%","16.2%","224.6%","16,445"
"20 S鴻巣店","P_4.00","1,318.4","342","80","256","278,891","36,759,680","19.4%","23.4%","13.2%","120.1%","12,116"
"21 S上里店","P_4.00","1,498.2","278","47","174","163,433","28,763,364","11.6%","16.7%","17.6%","144.4%","8,571"
"22 入間店","P_4.00","1,614.6","301","49","371","168,559","30,244,628","23.0%","16.4%","17.9%","71.2%","8,501"
"23 坂戸店","P_4.00","1,432.5","318","115","337","384,691","62,918,840","23.5%","36.2%","16.4%","154.0%","18,926"
"24 花園店","P_4.00","1,689.9","373","136","259","462,387","80,309,456","15.3%","36.5%","17.4%","238.1%","19,127"
"25 杉戸店","P_4.00","1,449.4","223","32","306","123,221","24,620,432","21.1%","14.4%","20.0%","67.9%","7,988"
"26 羽生店","P_4.00","842.6","199","31","92","109,494","16,082,700","10.9%","15.6%","14.7%","142.5%","8,280"
"27 千葉みなと店","P_4.00","1,859.3","276","36","549","130,889","27,549,884","29.5%","13.0%","21.0%","44.1%","6,772"
"28 浜野店","P_4.00","2,054.0","316","85","510","299,806","46,340,368","24.9%","27.1%","15.5%","108.8%","14,130"
"29 佐倉店","P_4.00","1,394.6","280","86","296","285,627","30,453,436","21.2%","30.7%","10.7%","144.7%","16,152"
"32 旭店","P_4.00","445.2","223","19","60","66,475","10,057,720","13.5%","8.3%","15.1%","61.6%","4,266"
"33 妙典駅前店","P_4.00","1,627.1","183","41","368","164,040","24,028,292","22.6%","22.6%","14.6%","100.0%","12,724"
"34 ＷＡＫＯ鹿島店","P_4.00","1,113.7","315","113","212","314,495","49,409,719","19.0%","35.9%","15.5%","188.8%","18,778"
"35 神栖店","P_4.00","1,713.7","318","72","411","213,430","33,770,527","24.0%","22.5%","15.6%","93.9%","11,456"
"36 立川店","P_4.00","1,645.9","322","51","488","170,187","38,826,177","29.6%","15.9%","22.4%","53.7%","8,226"
"37 新小岩店","P_4.00","1,919.8","228","55","425","178,588","31,007,976","22.1%","24.3%","16.9%","109.7%","13,378"
