"店舗名","種別","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト"
"店舗平均","-","-","25,086","-","-","21,846,991","2,758,297,660","-","-","11.9%","-","9,311"
"1 沼田店","S_21.74","1,061.4","228","97","361","248,584","40,368,716","34.0%","42.6%","16.2%","125.4%","10,575"
"2 渋川インター店","S_21.74","523.3","283","105","193","272,224","36,591,305","36.9%","37.1%","13.4%","100.4%","9,325"
"3 中之条店","S_21.74","901.4","150","36","326","91,097","11,941,959","36.2%","24.0%","13.1%","66.3%","5,888"
"4 前橋若宮店","S_21.74","1,527.1","195","74","564","218,266","30,223,171","36.9%","38.0%","13.8%","102.8%","10,379"
"5 前橋大利根店","S_21.74","1,857.0","492","174","784","446,091","61,953,325","42.2%","35.4%","13.9%","83.9%","8,944"
"6 ガーデン前橋店","S_21.74","2,051.5","418","157","776","399,536","43,179,717","37.8%","37.5%","10.8%","99.2%","9,423"
"7 富岡店","S_21.74","395.1","247","88","110","216,613","30,698,523","28.0%","35.5%","14.2%","127.1%","8,625"
"8 安中店","S_21.74","652.7","239","86","135","217,325","30,848,045","20.7%","35.9%","14.2%","173.2%","8,958"
"9 高崎本店","S_21.74","2,567.6","447","227","1,143","602,180","60,972,847","44.5%","50.8%","10.1%","114.1%","13,579"
"10 倉賀野店","S_21.74","1,126.7","334","131","431","328,690","46,168,302","38.3%","39.1%","14.0%","102.1%","9,821"
"11 金古店","S_21.74","1,534.0","367","142","667","369,097","47,222,063","43.5%","38.8%","12.8%","89.3%","9,821"
"12 伊勢崎店","S_21.74","1,891.8","339","93","749","244,287","27,849,654","39.6%","27.4%","11.4%","69.2%","6,958"
"13 大間々店","S_21.74","942.6","376","133","289","335,649","39,414,089","30.7%","35.4%","11.7%","115.5%","8,776"
"14 館林店","S_21.74","1,192.0","387","114","295","291,859","34,164,978","24.7%","29.5%","11.7%","119.4%","7,356"
"15 太田矢島店","S_21.74","2,246.6","344","124","818","331,434","39,314,308","36.4%","36.0%","11.9%","99.0%","9,168"
