"店舗名","アウト","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト支持率"
"店舗平均","-","-","61,943","-","-","38,113,459","5,934,351,415","-","-","15.0%","-","-"
"1 沼田店","-","3,722.0","769","247","1,067","438,743","78,070,013","28.7%","32.1%","17.8%","111.8%","-"
"2 渋川インター店","-","1,920.6","709","209","605","444,293","70,982,854","31.5%","29.5%","16.0%","93.6%","-"
"3 中之条店","-","3,146.0","456","106","957","167,646","27,991,029","30.4%","23.2%","16.7%","76.3%","-"
"4 前橋若宮店","-","4,062.0","599","190","1,167","444,437","75,760,954","28.7%","31.6%","17.0%","110.1%","-"
"5 前橋大利根店","-","5,700.1","1,126","383","1,896","683,849","107,051,763","33.3%","34.0%","15.7%","102.3%","-"
"6 ガーデン前橋店","-","5,799.3","1,082","342","1,766","706,734","94,705,139","30.5%","31.6%","13.4%","103.7%","-"
"7 富岡店","-","1,242.0","711","207","284","410,990","67,996,050","22.8%","29.1%","16.5%","127.5%","-"
"8 安中店","-","1,947.7","751","208","328","388,086","62,582,838","16.8%","27.7%","16.1%","164.4%","-"
"9 高崎本店","-","6,280.8","992","424","2,320","1,039,270","127,935,878","36.9%","42.7%","12.3%","115.7%","-"
"10 倉賀野店","-","3,844.7","975","286","1,181","490,574","76,282,150","30.7%","29.3%","15.5%","95.5%","-"
"11 金古店","-","4,946.6","999","300","1,631","655,504","105,914,150","33.0%","30.0%","16.2%","91.0%","-"
"12 伊勢崎店","-","4,469.1","805","220","1,780","400,185","48,570,129","39.8%","27.3%","12.1%","68.5%","-"
"13 大間々店","-","4,110.9","995","290","1,114","534,234","81,031,005","27.1%","29.1%","15.2%","107.3%","-"
"14 館林店","-","3,280.8","882","234","681","489,687","75,300,138","20.8%","26.6%","15.4%","128.0%","-"
"15 太田矢島店","-","5,693.1","815","269","1,907","544,926","83,602,998","33.5%","33.0%","15.3%","98.6%","-"
"16 太田店","-","7,028.3","1,256","435","2,272","776,484","77,685,730","32.3%","34.6%","10.0%","107.1%","-"
"17 上越店","-","4,924.8","1,334","348","1,261","552,355","96,584,258","25.6%","26.1%","14.6%","102.0%","-"
"18 上田店","-","4,679.0","833","254","1,290","504,594","41,495,756","27.6%","30.5%","7.9%","110.7%","-"
"19 S熊谷店","-","5,521.7","1,026","404","1,357","872,891","133,976,640","24.6%","39.4%","15.3%","160.4%","-"
"20 S鴻巣店","-","4,607.5","1,050","290","1,288","627,559","84,518,782","28.0%","27.6%","13.5%","98.8%","-"
"21 S上里店","-","4,947.8","996","262","1,086","522,861","87,223,007","21.9%","26.3%","16.7%","120.1%","-"
"22 入間店","-","6,691.5","997","232","1,980","500,715","80,428,850","29.6%","23.2%","16.1%","78.5%","-"
"23 坂戸店","-","4,598.9","941","373","1,434","867,517","125,059,971","31.2%","39.7%","14.4%","127.2%","-"
"24 花園店","-","4,964.5","897","327","1,100","811,479","134,163,838","22.2%","36.4%","16.5%","164.3%","-"
"25 杉戸店","-","4,972.0","815","179","1,529","382,064","63,238,646","30.8%","22.0%","16.6%","71.5%","-"
"26 羽生店","-","3,849.9","794","161","786","320,678","45,589,220","20.4%","20.2%","14.2%","98.9%","-"
"27 千葉みなと店","-","5,574.0","1,107","316","2,129","500,048","77,230,479","38.2%","28.5%","15.4%","74.7%","-"
"28 浜野店","-","6,252.0","921","321","1,990","690,294","99,153,690","31.8%","34.9%","14.4%","109.6%","-"
"29 佐倉店","-","5,426.1","820","305","1,564","649,365","93,544,986","28.8%","37.2%","14.4%","129.2%","-"
"30 S東金店","-","3,877.6","952","480","1,256","1,013,082","67,376,849","32.4%","50.4%","6.7%","155.5%","-"
"32 旭店","-","2,625.7","706","143","579","250,251","43,660,796","22.1%","20.3%","17.4%","92.0%","-"
"33 妙典駅前店","-","4,925.2","638","224","1,680","515,880","75,866,763","34.1%","35.1%","14.7%","102.8%","-"
"34 ＷＡＫＯ鹿島店","-","4,185.5","838","300","1,016","567,203","92,956,113","24.3%","35.8%","16.0%","147.6%","-"
"35 神栖店","-","5,132.3","895","280","1,491","551,402","89,798,793","29.0%","31.3%","15.8%","107.7%","-"
"36 立川店","-","5,233.7","1,002","190","1,806","355,982","66,974,623","34.5%","18.9%","17.8%","54.9%","-"
"37 新小岩店","-","6,260.6","755","249","1,930","459,789","70,800,892","30.8%","33.0%","14.7%","107.2%","-"
"38 八王子北野店","-","5,494.8","617","155","1,863","314,102","54,802,392","33.9%","25.1%","16.4%","74.2%","-"
"40 錦糸町店","-","4,991.2","997","477","1,911","1,081,370","137,185,648","38.3%","47.8%","11.9%","124.9%","-"
"41 座間店","-","4,285.2","1,027","263","1,731","476,052","78,803,653","40.4%","25.6%","16.6%","63.4%","-"
"42 平塚駅前店","-","4,760.4","997","300","1,513","648,278","107,155,840","31.8%","30.1%","16.5%","94.8%","-"
"43 上永谷店","-","3,926.9","640","150","1,191","251,451","35,826,604","30.3%","23.5%","14.2%","77.4%","-"
"44 姫路店　","-","4,154.1","903","275","1,323","491,237","69,596,368","31.9%","30.5%","13.9%","95.7%","-"
"45 新開地店","-","4,358.4","1,338","575","1,638","1,056,491","131,885,970","37.6%","43.0%","12.3%","114.4%","-"
"46 仙台東店","-","5,245.1","829","269","1,423","613,739","95,672,847","27.1%","32.4%","15.2%","119.5%","-"
"47 仙台泉店","-","5,594.9","883","338","1,766","784,216","102,452,439","31.6%","38.3%","12.8%","121.3%","-"
"48 福岡本店","-","9,578.4","1,197","413","3,026","775,073","126,163,247","31.6%","34.5%","15.0%","109.1%","-"
"49 筑紫野店","-","9,737.1","1,744","525","3,133","947,528","171,944,420","32.2%","30.1%","16.9%","93.6%","-"
"50 福重店","-","8,578.7","998","373","2,989","691,086","132,798,445","34.8%","37.4%","18.2%","107.3%","-"
"51 伊都店","-","5,993.7","991","272","2,085","380,799","71,335,633","34.8%","27.4%","17.5%","78.9%","-"
"52 飯塚店","-","7,048.2","1,244","347","2,264","549,442","92,812,407","32.1%","27.9%","15.3%","86.9%","-"
"53 中間店","-","5,860.1","836","282","1,878","441,769","72,829,115","32.0%","33.7%","15.0%","105.3%","-"
"54 門司店","-","1,980.0","631","155","450","222,967","49,225,977","22.7%","24.6%","20.8%","108.0%","-"
"55 松浦店","-","1,117.6","716","132","200","168,745","39,525,494","17.9%","18.4%","22.1%","103.0%","-"
"56 佐々インター店","-","5,474.1","1,020","421","1,625","745,166","139,662,319","29.7%","41.3%","17.2%","139.2%","-"
