年月,店舗名,店舗表示順,レート区分,台数,店舗全体台数,台数シェア,売上合計_千円,店舗全体売上_千円,売上シェア,補粗利合計,店舗全体補粗利,補粗利シェア,売上差_pt,補粗利差_pt,平均差_pt,判定,優先度
2025-07,沼田店,2,4円超P,211,764,27.6,139351,442811,31.5,23679924,69207379,34.2,3.9,6.6,5.2,不足,高
2025-07,沼田店,2,1円P,283,764,37.0,67595,442811,15.3,14550147,69207379,21.0,-21.8,-16.0,-18.9,過剰,高
2025-07,沼田店,2,1円未満P,0,764,0.0,0,442811,0.0,0,69207379,0.0,0.0,0.0,0.0,適正,低
2025-07,沼田店,2,20円超S,228,764,29.8,221140,442811,49.9,29464175,69207379,42.6,20.1,12.7,16.4,不足,高
2025-07,沼田店,2,5円S,41,764,5.4,14726,442811,3.3,1513133,69207379,2.2,-2.0,-3.2,-2.6,要確認,中
2025-07,沼田店,2,5円未満S,0,764,0.0,0,442811,0.0,0,69207379,0.0,0.0,0.0,0.0,適正,低
2025-07,渋川インター店,3,4円超P,250,712,35.1,147721,449055,32.9,26747648,67851535,39.4,-2.2,4.3,1.0,要確認,中
2025-07,渋川インター店,3,1円P,144,712,20.2,40661,449055,9.1,9343683,67851535,13.8,-11.2,-6.5,-8.8,過剰,高
2025-07,渋川インター店,3,1円未満P,36,712,5.1,4012,449055,0.9,926542,67851535,1.4,-4.2,-3.7,-3.9,過剰,中
2025-07,渋川インター店,3,20円超S,246,712,34.6,243031,449055,54.1,29155913,67851535,43.0,19.6,8.4,14.0,不足,高
2025-07,渋川インター店,3,5円S,36,712,5.1,13631,449055,3.0,1677749,67851535,2.5,-2.0,-2.6,-2.3,適正,低
2025-07,渋川インター店,3,5円未満S,0,712,0.0,0,449055,0.0,0,67851535,0.0,0.0,0.0,0.0,適正,低
2025-07,中之条店,4,4円超P,129,456,28.3,47676,156133,30.5,11042260,25460197,43.4,2.2,15.1,8.7,要確認,高
2025-07,中之条店,4,1円P,126,456,27.6,23594,156133,15.1,5824624,25460197,22.9,-12.5,-4.8,-8.6,過剰,高
2025-07,中之条店,4,1円未満P,26,456,5.7,1337,156133,0.9,264640,25460197,1.0,-4.8,-4.7,-4.8,過剰,中
2025-07,中之条店,4,20円超S,151,456,33.1,75153,156133,48.1,7473130,25460197,29.4,15.0,-3.8,5.6,要確認,高
2025-07,中之条店,4,5円S,24,456,5.3,8373,156133,5.4,855543,25460197,3.4,0.1,-1.9,-0.9,適正,低
2025-07,中之条店,4,5円未満S,0,456,0.0,0,156133,0.0,0,25460197,0.0,0.0,0.0,0.0,適正,低
2025-07,前橋若宮店,5,4円超P,268,601,44.6,212900,447749,47.5,34261820,65604136,52.2,3.0,7.6,5.3,要確認,高
2025-07,前橋若宮店,5,1円P,135,601,22.5,45086,447749,10.1,9576990,65604136,14.6,-12.4,-7.9,-10.1,過剰,高
2025-07,前橋若宮店,5,1円未満P,0,601,0.0,0,447749,0.0,0,65604136,0.0,0.0,0.0,0.0,適正,低
